nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9064715,30.3504684,10.681,1.006,0.0,0.0,0.0,-5.150030290322268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.800+03: 00,40775,new.003.001.
59.9064719,30.3504668,10.678,1.051,0.0,0.0,0.0,-5.163738106267432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 49.900+03: 00,40874,new.003.001.
59.9064723,30.350465,10.685,1.041,0.0,0.0,0.0,-5.180364112721929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.000+03: 00,40986,new.003.001.
59.9064728,30.3504631,10.687,1.175,0.0,0.0,0.0,-5.224939821817865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.100+03: 00,41078,new.003.001.
59.9064733,30.3504613,10.688,1.172,0.0,0.0,0.0,-5.216565732066796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.200+03: 00,41177,new.003.001.
59.9064737,30.3504593,10.685,1.196,0.0,0.0,0.0,-5.117591600844702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.300+03: 00,41276,new.003.001.
59.9064742,30.3504572,10.69,1.254,0.0,0.0,0.0,-5.154185919271267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.400+03: 00,41381,new.003.001.
59.9064747,30.3504553,10.685,1.26,0.0,0.0,0.0,-5.1894991660268674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.500+03: 00,41498,new.003.001.
59.9064752,30.3504531,10.685,1.373,0.0,0.0,0.0,-5.160158435971591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.600+03: 00,41577,new.003.001.
59.9064758,30.3504509,10.684,1.362,0.0,0.0,0.0,-5.15549317088101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.700+03: 00,41677,new.003.001.
59.9064764,30.3504486,10.683,1.408,0.0,0.0,0.0,-5.188085449332752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.800+03: 00,41775,new.003.001.
59.906477,30.3504462,10.683,1.482,0.0,0.0,0.0,-5.1470789385571445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 50.900+03: 00,41880,new.003.001.
59.9064776,30.3504438,10.684,1.492,0.0,0.0,0.0,-5.227301252295812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.000+03: 00,41985,new.003.001.
59.9064782,30.3504412,10.684,1.564,0.0,0.0,0.0,-5.142914582961887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.100+03: 00,42078,new.003.001.
59.9064789,30.3504387,10.687,1.604,0.0,0.0,0.0,-5.154220825856306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.200+03: 00,42174,new.003.001.
59.9064795,30.350436,10.685,1.597,0.0,0.0,0.0,-5.1593503485279175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.300+03: 00,42287,new.003.001.
59.9064802,30.3504334,10.685,1.663,0.0,0.0,0.0,-5.201414528830233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.400+03: 00,42375,new.003.001.
59.9064808,30.3504308,10.684,1.637,0.0,0.0,0.0,-5.152063598900842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.500+03: 00,42478,new.003.001.
59.9064815,30.3504283,10.686,1.612,0.0,0.0,0.0,-5.172424609954606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.600+03: 00,42574,new.003.001.
59.9064821,30.3504258,10.693,1.557,0.0,0.0,0.0,-5.169729821589528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.700+03: 00,42673,new.003.001.
59.9064826,30.3504235,10.686,1.426,0.0,0.0,0.0,-5.155028913299979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.800+03: 00,42776,new.003.001.
59.9064831,30.3504214,10.69,1.353,0.0,0.0,0.0,-5.190748821771296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.78,2025-04-23T17: 13: 51.900+03: 00,42873,new.003.001.
59.9064836,30.3504194,10.691,1.227,0.0,0.0,0.0,-5.141928471934509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.000+03: 00,42982,new.003.001.
59.906484,30.3504175,10.69,1.165,0.0,0.0,0.0,-5.106685038348989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.100+03: 00,43074,new.003.001.
59.9064845,30.3504159,10.693,1.065,0.0,0.0,0.0,-5.266213367969026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.200+03: 00,43183,new.003.001.
59.906485,30.3504143,10.696,1.047,0.0,0.0,0.0,-5.223794885828556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.300+03: 00,43286,new.003.001.
59.9064852,30.3504127,10.696,0.963,0.0,0.0,0.0,-5.1141916994618155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.400+03: 00,43379,new.003.001.
59.9064855,30.350411,10.701,0.957,0.0,0.0,0.0,-5.1144203375938275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.500+03: 00,43490,new.003.001.
59.9064859,30.3504096,10.697,0.914,0.0,0.0,0.0,-5.13091020836667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.600+03: 00,43575,new.003.001.
59.9064863,30.3504079,10.698,1.012,0.0,0.0,0.0,-5.154636214218281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.700+03: 00,43678,new.003.001.
59.9064867,30.3504063,10.702,1.009,0.0,0.0,0.0,-5.1508383777659414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.800+03: 00,43780,new.003.001.
59.9064872,30.3504047,10.702,1.044,0.0,0.0,0.0,-5.18941364489352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 52.900+03: 00,43873,new.003.001.
59.9064876,30.350403,10.7,1.128,0.0,0.0,0.0,-5.193078836322708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.000+03: 00,43977,new.003.001.
59.9064881,30.3504011,10.706,1.179,0.0,0.0,0.0,-5.230301473279991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.100+03: 00,44076,new.003.001.
