speed_0,speed_1,grabMsec,tram_mode_dbw_feedback,tram_mode_applied_control,m_speed_mode_driver,episode
27.14,26.84,68200,15,0,0,new.003.004.
27.14,26.84,68306,15,0,0,new.003.004.
26.75,26.54,68408,15,0,0,new.003.004.
26.75,26.54,68510,15,0,0,new.003.004.
26.61,26.57,68611,15,0,0,new.003.004.
26.61,26.57,68712,15,0,0,new.003.004.
26.36,26.12,68818,15,0,0,new.003.004.
26.36,26.12,68909,15,0,0,new.003.004.
26.07,26.42,69012,15,0,0,new.003.004.
26.07,26.42,69113,15,0,0,new.003.004.
26.29,26.1,69216,-3,0,-3,new.003.004.
26.29,26.1,69317,-5,0,-5,new.003.004.
26.02,26.2,69419,-7,0,-7,new.003.004.
26.02,26.2,69526,-9,0,-9,new.003.004.
26.17,25.830000000000002,69629,-9,0,-9,new.003.004.
26.17,25.830000000000002,69726,-9,0,-9,new.003.004.
25.93,25.900000000000002,69831,-9,0,-9,new.003.004.
25.93,25.900000000000002,69925,-7,0,-7,new.003.004.
25.8,25.560000000000002,70030,-7,0,-7,new.003.004.
25.150000000000002,25.560000000000002,70131,-5,0,-5,new.003.004.
25.150000000000002,25.13,70233,-3,0,-3,new.003.004.
24.95,25.13,70337,15,0,0,new.003.004.
24.95,24.69,70439,15,0,0,new.003.004.
24.48,24.69,70535,15,0,0,new.003.004.
24.48,24.51,70637,15,0,0,new.003.004.
24.32,24.51,70747,15,0,3,new.003.004.
24.32,24.36,70844,3,0,3,new.003.004.
24.28,24.36,70951,3,0,3,new.003.004.
24.28,24.19,71047,3,0,3,new.003.004.
24.310000000000002,24.19,71150,3,0,3,new.003.004.
24.310000000000002,24.18,71253,3,0,3,new.003.004.
24.14,24.18,71355,3,0,3,new.003.004.
24.14,24.19,71457,3,0,3,new.003.004.
24.14,24.19,71561,3,0,3,new.003.004.
24.14,24.22,71662,3,0,3,new.003.004.
24.27,24.22,71760,3,0,3,new.003.004.
24.27,24.310000000000002,71859,3,0,3,new.003.004.
24.34,24.310000000000002,71964,3,0,3,new.003.004.
24.34,24.44,72060,3,0,3,new.003.004.
24.580000000000002,24.44,72161,3,0,3,new.003.004.
24.580000000000002,24.68,72264,3,0,3,new.003.004.
24.85,24.68,72367,3,0,3,new.003.004.
24.85,24.85,72468,3,0,3,new.003.004.
24.990000000000002,24.85,72570,3,0,3,new.003.004.
25.2,25.12,72692,3,0,3,new.003.004.
25.2,25.12,72795,15,0,0,new.003.004.
25.39,25.12,72897,15,0,0,new.003.004.
25.39,25.46,72990,15,0,0,new.003.004.
25.51,25.46,73091,15,0,0,new.003.004.
25.51,25.45,73192,-7,-7,0,new.003.004.
25.16,25.45,73296,-7,-7,0,new.003.004.
25.16,25.71,73404,-7,-7,0,new.003.004.
25.2,25.71,73495,-7,-7,0,new.003.004.
25.2,25.0,73599,-7,-7,0,new.003.004.
25.3,25.0,73692,-7,-7,-3,new.003.004.
25.3,25.0,73799,-7,-7,-5,new.003.004.
25.09,25.11,73901,-7,-7,-5,new.003.004.
25.09,25.11,74007,-7,-7,-5,new.003.004.
24.84,24.73,74100,-7,-7,-5,new.003.004.
24.84,24.73,74220,-7,-7,-7,new.003.004.
24.54,24.3,74312,-7,-7,-7,new.003.004.
24.54,24.3,74405,-7,-7,-7,new.003.004.
23.95,23.91,74513,-7,-7,-7,new.003.004.
23.95,23.91,74615,-7,-7,-7,new.003.004.
23.5,23.37,74718,-7,-7,-7,new.003.004.
23.5,23.37,74822,-7,-7,-7,new.003.004.
23.01,22.84,74936,-7,-7,-7,new.003.004.
23.01,22.84,75088,-9,-7,-9,new.003.004.
22.43,22.27,75118,-9,-7,-9,new.003.004.
22.43,22.27,75223,-9,-7,-9,new.003.004.
21.78,21.52,75387,-9,-7,-9,new.003.004.
21.78,21.52,75427,-9,-7,-9,new.003.004.
